S.No,District,Name,Contact
1,Ariyalur,Government Headquarters Hospital,  04329 224 050
2,Chennai,Government Rajiv Gandhi Medical College Hospital, 044- 25305711
3,Chennai,Government Stanley Medical College Hospital,  044- 25284941
4,Chennai,Institute of Child Health & Hospital for Children, 044-28191135
5,Chennai,Government Kilpauk Medical College Hospital, 044-28364951
6,Chennai,Government Royapettah Hospital, 044- 28482611
7,Chennai,Institute Of Obstetrics And Gynaecology & Govt. Hospital For Women & Children,044 2819 1483
8,Chennai,Government Kasturba Gandhi Hospital For Women & Children,044 2854 5123
9,Chennai,Government Peripheral Hospital Anna Nagar, 044 2620 9490
10,Chennai,ESI Hospital Ayanavaram,044 2644 9284
11,Chennai,Government RSRM Hospital,044 2590 1665
12,Chennai,MGR University Blood Bank,044- 22353546
13,Coimbatore,Government Medical College Hospital Coimbatore,0422- 54272275
14,Coimbatore,Government Hospital Pollachi,+91 99523 31525
15,Coimbatore,Government Hospital Mettupalayam,04254 272275
16,Coimbatore,ESI Hospital Coimbatore, 0422-2574391
17,Cuddalore,Government Headquarters Hospital Cuddalore, 04142-230052
18,Cuddalore,Government Hospital Chidambaram,04144-223099
19,Cuddalore,Government Hospital Virudhachalam,04143-230325
20,Dharmapuri,Government Medical College Hospital Dharmapuri,04342 231748
21,Dindigul,Government Headquarters Hospital Dindigul,045011 - 2424600
22,Dindigul,Government Hospital Palani,04542 - 248553
23,Erode,Government Headquarters Hospital Erode,04242- 2253676
24,Erode,Government Hospital Gobichettipalayam, 04285 227 153
25,Kancheepuram,Government Medical College Hospital Chengalpattu, 044 27431909
26,Kancheepuram,Government Arignar Anna Memorial Cancer Hospital Karapettai, 044 2726 4244
27,Kancheepuram,Government Headquarters Hospital Kancheepuram,0417 232538
28,Kancheepuram,Government Hospital Maduranthagam,044 2755 5216
29,Kancheepuram,Government Hospital Tambaram at Chrompet,044 22382400
30,Kanyakumari,Government Medical College Hospital Kanyakumari,04652 236949
31,Kanyakumari,Government Headquarters Hospital Padmanabhapuram,04651 256 023
32,Karur,Government Medical College Hospital Karur,0432- 0432 4260197
